iter	Passed	Remaining
185	286	1253
186	287	1248
187	287	1243
188	288	1237
189	289	1232
190	289	1227
191	290	1222
192	291	1216
193	291	1211
194	292	1206
195	292	1201
196	293	1197
197	294	1192
198	294	1187
199	295	1182
200	296	1177
201	296	1172
202	297	1168
203	298	1163
204	299	1159
205	299	1155
206	300	1150
207	301	1146
208	301	1141
209	302	1137
210	303	1133
211	303	1128
212	304	1124
213	305	1121
214	306	1118
215	307	1115
216	308	1112
217	308	1107
218	309	1104
219	310	1100
220	311	1096
221	311	1092
222	312	1088
223	313	1084
224	313	1080
225	314	1077
226	315	1073
227	315	1069
228	316	1066
229	317	1062
230	317	1058
231	318	1054
232	319	1051
233	319	1047
234	320	1043
235	321	1039
236	321	1036
237	322	1032
238	323	1028
239	323	1025
240	324	1021
241	325	1018
242	325	1014
243	326	1011
244	326	1007
245	327	1004
246	328	1000
247	329	997
248	329	994
249	330	991
250	331	987
251	331	984
252	332	981
253	332	977
254	333	974
255	334	971
256	335	969
257	336	966
258	336	963
259	337	960
260	338	957
261	338	953
262	339	950
263	339	947
264	340	944
265	341	941
266	341	938
267	342	935
268	343	932
269	343	929
270	344	926
271	345	923
272	345	921
273	346	918
274	347	915
275	347	912
276	348	910
277	349	907
278	349	904
279	350	901
280	351	898
281	351	895
282	352	893
283	353	890
284	353	887
285	354	885
286	355	882
287	355	879
288	356	877
289	357	874
290	357	871
291	358	869
292	359	867
293	359	864
294	360	862
295	361	859
296	362	857
297	362	854
298	363	852
299	364	849
300	364	847
301	365	844
302	366	842
303	366	839
304	367	837
305	367	834
306	368	832
307	369	829
308	369	827
309	370	824
310	371	822
311	371	819
312	372	817
313	373	815
314	374	813
315	374	811
316	375	809
317	376	807
318	376	804
319	378	804
320	379	802
321	380	800
322	380	798
323	381	796
324	382	794
325	383	792
326	383	790
327	384	788
328	385	786
329	386	784
330	387	782
331	388	780
332	388	779
333	389	777
334	390	775
335	391	773
336	392	772
337	393	770
338	394	768
339	395	766
340	395	765
341	396	763
342	397	761
343	398	759
344	399	757
345	399	755
346	400	754
347	401	752
348	402	750
349	403	748
350	403	746
351	404	744
352	405	742
353	406	740
354	406	738
355	407	736
356	408	735
357	408	733
358	409	731
359	410	729
360	411	727
361	411	725
362	412	724
363	413	722
364	413	720
365	414	718
366	415	716
367	415	714
368	416	712
369	417	710
370	417	708
371	418	706
372	419	704
373	420	703
374	420	701
375	421	699
376	421	697
377	422	695
378	423	693
379	423	691
380	424	689
381	425	687
382	425	685
383	426	684
384	427	682
385	427	680
386	428	678
387	429	676
388	429	674
389	430	673
390	431	671
391	431	669
392	432	668
393	433	666
394	434	664
395	434	662
396	435	661
397	435	659
398	436	657
399	437	655
400	437	654
401	438	652
402	439	650
403	439	648
404	440	647
405	441	645
406	441	643
407	442	641
408	443	640
409	443	638
410	444	636
411	445	635
412	445	633
413	446	631
414	446	630
415	447	628
416	448	627
417	449	625
418	449	623
419	450	622
420	451	620
421	451	618
422	452	617
423	453	615
424	453	613
425	454	612
426	454	610
427	455	608
428	456	607
429	456	605
430	457	604
431	458	602
432	459	601
433	460	600
434	460	598
435	461	597
436	462	595
437	463	594
438	464	593
439	464	591
440	465	589
441	466	588
442	466	586
443	467	585
444	467	583
445	468	582
446	469	580
447	469	579
448	470	577
449	471	575
450	471	574
451	472	572
452	473	571
453	473	569
454	474	568
455	475	566
456	475	565
457	476	563
458	477	562
459	477	560
460	478	559
461	479	558
462	479	556
463	480	555
464	481	553
465	481	552
466	482	550
467	483	549
468	483	547
469	484	546
470	485	544
471	485	543
472	486	541
473	487	540
474	487	539
475	488	537
476	489	536
477	489	534
478	490	533
479	491	532
480	491	530
481	492	529
482	493	528
483	494	526
484	494	525
485	495	524
486	496	522
487	497	521
488	497	520
489	498	518
490	499	517
491	500	516
492	500	515
493	501	513
494	502	512
495	502	510
496	503	509
497	504	508
498	505	507
499	505	505
500	506	504
501	507	503
502	508	501
503	508	500
504	509	499
505	510	498
506	511	496
507	511	495
508	512	494
509	513	493
510	514	491
511	514	490
512	515	489
513	516	488
514	516	486
515	517	485
516	518	484
517	518	482
518	519	481
519	520	480
520	520	478
521	521	477
522	522	476
523	522	474
524	523	473
525	524	472
526	524	471
527	525	469
528	526	468
529	527	467
530	527	466
531	528	464
532	529	463
533	529	462
534	530	461
535	531	459
536	531	458
537	532	457
538	533	455
539	533	454
540	534	453
541	535	452
542	536	451
543	536	449
544	537	448
545	538	447
546	539	446
547	539	445
548	540	444
549	541	442
550	542	441
551	542	440
552	543	439
553	544	438
554	544	436
555	545	435
556	546	434
557	546	433
558	547	431
559	548	430
560	548	429
561	549	428
562	550	426
563	550	425
564	551	424
565	552	423
566	552	422
567	553	421
568	554	420
569	555	418
570	556	417
571	556	416
572	557	415
573	558	414
574	558	413
575	559	412
576	560	410
577	561	409
578	561	408
579	562	407
580	563	406
581	563	404
582	564	403
583	565	402
584	565	401
585	566	400
586	567	399
587	568	397
588	568	396
589	569	395
590	570	394
591	571	393
592	571	392
593	572	391
594	573	390
595	573	388
596	574	387
597	575	386
598	575	385
599	576	384
600	577	383
601	577	381
602	578	380
603	579	379
604	579	378
605	580	377
606	580	376
607	581	375
608	582	373
609	583	372
610	584	371
611	584	370
612	585	369
613	586	368
614	586	367
615	587	366
616	588	365
617	588	363
618	589	362
619	590	361
620	590	360
621	591	359
622	592	358
623	592	357
624	593	356
625	594	354
626	594	353
627	595	352
628	596	351
629	596	350
630	597	349
631	598	348
632	599	347
633	599	346
634	600	345
635	601	344
636	601	342
637	602	341
638	603	340
639	603	339
640	604	338
641	605	337
642	605	336
643	606	335
644	607	334
645	607	332
646	608	331
647	608	330
648	609	329
649	610	328
650	610	327
651	611	326
652	612	325
653	613	324
654	613	323
655	614	322
656	615	321
657	615	320
658	616	318
659	617	317
660	617	316
661	618	315
662	618	314
663	619	313
664	620	312
665	620	311
666	621	310
667	622	309
668	622	308
669	623	307
670	624	306
671	624	304
672	625	303
673	626	302
674	627	301
675	627	300
676	628	299
677	628	298
678	629	297
679	630	296
680	630	295
681	631	294
682	632	293
683	632	292
684	633	291
685	634	290
686	634	289
687	635	288
688	636	287
689	636	286
690	637	284
691	637	283
692	638	282
693	639	281
694	639	280
695	640	279
696	641	278
697	642	277
698	642	276
699	643	275
700	644	274
701	644	273
702	645	272
703	646	271
704	646	270
705	647	269
706	648	268
707	648	267
708	649	266
709	650	265
710	650	264
711	651	263
712	651	262
713	652	261
714	653	260
715	653	259
716	654	258
717	655	257
718	655	256
719	656	255
720	657	254
721	657	253
722	658	252
723	659	251
724	660	250
725	660	249
726	661	248
727	662	247
728	662	246
729	663	245
730	664	244
731	664	243
732	665	242
733	666	241
734	666	240
735	667	239
736	668	238
737	668	237
738	669	236
739	670	235
740	670	234
741	671	233
742	672	232
743	672	231
744	673	230
745	674	229
746	675	228
747	675	227
748	676	226
749	677	225
750	677	224
751	678	223
752	679	222
753	679	221
754	680	220
755	681	219
756	681	218
757	682	217
758	683	216
759	683	215
760	684	214
761	685	213
762	685	212
763	686	212
764	687	211
765	687	210
766	688	209
767	689	208
768	689	207
769	690	206
770	691	205
771	691	204
772	692	203
773	693	202
774	693	201
775	694	200
776	695	199
777	695	198
778	696	197
779	697	196
780	697	195
781	698	194
782	699	193
783	699	192
784	700	191
785	701	190
786	701	189
787	702	189
788	703	188
789	704	187
790	704	186
791	705	185
792	705	184
793	706	183
794	707	182
795	707	181
796	708	180
797	709	179
798	709	178
799	710	177
800	711	176
801	711	175
802	712	174
803	713	173
804	713	172
805	714	171
806	715	171
807	715	170
808	716	169
809	717	168
810	718	167
811	718	166
812	719	165
813	720	164
814	720	163
815	721	162
816	722	161
817	722	160
818	723	159
819	724	158
820	724	158
821	725	157
822	726	156
823	726	155
824	727	154
825	728	153
826	728	152
827	729	151
828	730	150
829	730	149
830	731	148
831	732	147
832	733	146
833	733	146
834	734	145
835	735	144
836	735	143
837	736	142
838	737	141
839	738	140
840	738	139
841	739	138
842	740	137
843	740	136
844	741	136
845	742	135
846	742	134
847	743	133
848	744	132
849	744	131
850	745	130
851	746	129
852	747	128
853	747	127
854	748	126
855	749	126
856	749	125
857	750	124
858	751	123
859	752	122
860	752	121
861	753	120
862	754	119
863	754	118
864	755	117
865	756	116
866	756	116
867	757	115
868	758	114
869	758	113
870	759	112
871	760	111
872	760	110
873	761	109
874	762	108
875	762	108
876	763	107
877	764	106
878	765	105
879	766	104
880	766	103
881	767	102
882	768	101
883	769	100
884	769	100
885	770	99
886	771	98
887	771	97
888	772	96
889	773	95
890	773	94
891	774	93
892	775	92
893	775	91
894	776	91
895	777	90
896	778	89
897	778	88
898	779	87
899	780	86
900	780	85
901	781	84
902	782	84
903	782	83
904	783	82
905	784	81
906	784	80
907	785	79
908	786	78
909	786	77
910	787	76
911	788	76
912	788	75
913	789	74
914	789	73
915	790	72
916	791	71
917	792	70
918	792	69
919	793	69
920	794	68
921	794	67
922	795	66
923	796	65
924	796	64
925	797	63
926	797	62
927	798	61
928	799	61
929	800	60
930	800	59
931	801	58
932	802	57
933	802	56
934	803	55
935	803	54
936	804	54
937	805	53
938	806	52
939	807	51
940	807	50
941	808	49
942	809	48
943	809	48
944	810	47
945	811	46
946	811	45
947	812	44
948	813	43
949	813	42
950	814	41
951	814	41
952	815	40
953	816	39
954	816	38
955	817	37
956	818	36
957	818	35
958	819	35
959	820	34
960	820	33
961	821	32
962	822	31
963	822	30
964	823	29
965	824	29
966	824	28
967	825	27
968	826	26
969	826	25
970	827	24
971	827	23
972	828	22
973	829	22
974	830	21
975	830	20
976	831	19
977	831	18
978	832	17
979	833	17
980	833	16
981	834	15
982	835	14
983	836	13
984	837	12
985	838	11
986	839	11
987	839	10
988	840	9
989	841	8
990	841	7
991	842	6
992	843	5
993	843	5
994	844	4
995	845	3
996	845	2
997	846	1
998	847	0
999	847	0
